calcPhase t x y theta P11 P12 P13 P22 P23 P33 U1 U2 y1 y2
0 0.000000 0.000000 0.000000 0.000000 25.000000 0.000000 0.000000 25.000000 0.000000 0.007615 0.000000 0.000000 0.000000 0.000000 
1 0.050000 0.750492 0.000000 0.000000 25.577813 0.000000 0.000000 25.004289 0.005715 0.007800 0.750492 0.000000 0.000000 0.000000 
1 0.100000 2.626721 0.000000 0.000000 26.155625 0.000000 0.000000 25.053193 0.020349 0.007984 1.876229 0.000000 0.000000 0.000000 
1 0.150000 4.878195 0.000000 0.000000 26.733438 0.000000 0.000000 25.185296 0.038325 0.008168 2.251475 0.000000 0.000000 0.000000 
1 0.200000 7.317293 0.000000 0.003350 27.311244 0.001460 -0.000067 25.420852 0.058248 0.008352 2.439098 0.003350 0.000000 0.000000 
1 0.250000 9.756377 0.008172 0.006701 27.889035 0.003884 -0.000203 25.754704 0.078620 0.008537 2.439098 0.003350 0.000000 0.000000 
1 0.300000 12.383038 0.025773 0.006701 28.466831 0.005443 -0.000354 26.226643 0.101043 0.008721 2.626721 0.000000 0.000000 0.000000 
1 0.350000 15.197319 0.044631 0.003350 29.044645 0.005200 -0.000436 26.864458 0.125586 0.008905 2.814343 -0.003350 0.000000 0.000000 
1 0.400000 18.011646 0.054060 0.006701 29.622451 0.005004 -0.000604 27.641886 0.150648 0.009089 2.814343 0.003350 0.000000 0.000000 
1 0.450000 21.013545 0.074176 0.006701 30.200266 0.003485 -0.000787 28.628281 0.177934 0.009274 3.001966 0.000000 0.000000 0.000000 
1 0.500000 23.827825 0.093034 0.010051 30.778072 0.001307 -0.001049 29.703267 0.204032 0.009458 2.814343 0.003350 0.000000 0.000000 
1 0.550000 26.642027 0.121321 0.006701 31.355901 -0.002123 -0.001227 30.926607 0.230649 0.009642 2.814343 -0.003350 0.000000 0.000000 
1 0.600000 29.268688 0.138922 0.006701 31.933734 -0.005980 -0.001397 32.204832 0.255976 0.009826 2.626721 -0.000000 0.000000 0.000000 
1 0.650000 31.520112 0.154009 0.000000 32.511546 -0.009125 -0.001397 33.407290 0.278100 0.010011 2.251475 -0.006701 0.000000 0.000000 
2 0.650000 31.520112 0.154009 0.000000 32.511546 -0.009125 -0.001397 33.407290 0.278100 0.010011 0.000000 0.000000 80.000000 5.000000 
3 0.650000 30.773768 -1.501026 -0.031863 16.458706 0.019501 -0.000597 15.675989 -0.063392 0.003434 0.000000 0.000000 0.000000 0.000000 
1 0.700000 32.273990 -1.548843 -0.051966 17.034887 -0.015907 -0.000329 15.495220 -0.058245 0.003618 1.500983 -0.020102 0.000000 0.000000 
